Animals amount;Plants amount;Free tiles amount;Average energy;Dead animals average age;Average children amount;Most popular genotypes
5;6;15;5.0;NaN;0.0;[5, 2, 1, 6, 6] [7, 3, 3, 5, 4] [6, 1, 3, 7, 5] 
5;9;12;4.0;NaN;0.0;[5, 2, 1, 6, 6] [7, 3, 3, 5, 4] [6, 1, 3, 7, 5] 
5;9;12;4.0;NaN;0.0;[5, 2, 1, 6, 6] [7, 3, 3, 5, 4] [6, 1, 3, 7, 5] 
5;8;12;4.0;NaN;0.0;[5, 2, 1, 6, 6] [7, 3, 3, 5, 4] [6, 1, 3, 7, 5] 
5;8;13;5.0;NaN;0.0;[5, 2, 1, 6, 6] [7, 3, 3, 5, 4] [6, 1, 3, 7, 5] 
3;8;14;9.0;5.0;0.0;[5, 2, 1, 6, 6] [2, 1, 6, 6, 7] [4, 3, 0, 6, 2] 
3;7;17;13.0;5.0;0.0;[5, 2, 1, 6, 6] [2, 1, 6, 6, 7] [4, 3, 0, 6, 2] 
3;8;15;13.666666666666666;5.0;0.0;[5, 2, 1, 6, 6] [2, 1, 6, 6, 7] [4, 3, 0, 6, 2] 
3;7;16;16.0;5.0;0.0;[5, 2, 1, 6, 6] [2, 1, 6, 6, 7] [4, 3, 0, 6, 2] 
3;9;14;15.0;5.0;0.0;[5, 2, 1, 6, 6] [2, 1, 6, 6, 7] [4, 3, 0, 6, 2] 
3;10;12;14.0;5.0;0.0;[5, 2, 1, 6, 6] [2, 1, 6, 6, 7] [4, 3, 0, 6, 2] 
4;12;12;11.0;5.0;0.5;[5, 2, 1, 6, 6] [2, 6, 1, 1, 0] [2, 1, 6, 6, 7] 
4;11;10;11.25;5.0;0.5;[5, 2, 1, 6, 6] [2, 6, 1, 1, 0] [2, 1, 6, 6, 7] 
4;12;10;10.25;5.0;0.5;[5, 2, 1, 6, 6] [2, 6, 1, 1, 0] [2, 1, 6, 6, 7] 
4;11;11;13.0;5.0;0.5;[5, 2, 1, 6, 6] [2, 6, 1, 1, 0] [2, 1, 6, 6, 7] 
4;13;9;13.25;5.0;0.5;[5, 2, 1, 6, 6] [2, 6, 1, 1, 0] [2, 1, 6, 6, 7] 
5;10;12;12.8;5.0;0.8;[5, 2, 1, 6, 6] [1, 2, 4, 0, 6] [2, 6, 1, 1, 0] 
5;11;9;11.8;5.0;0.8;[5, 2, 1, 6, 6] [1, 2, 4, 0, 6] [2, 6, 1, 1, 0] 
6;11;11;11.5;5.0;1.0;[5, 2, 1, 6, 6] [4, 2, 0, 1, 1] [1, 2, 4, 0, 6] 
7;11;9;10.428571428571429;5.0;1.1428571428571428;[5, 2, 1, 6, 6] [4, 2, 0, 1, 1] [1, 2, 4, 0, 6] 
7;10;9;10.857142857142858;5.0;1.1428571428571428;[5, 2, 1, 6, 6] [4, 2, 0, 1, 1] [1, 2, 4, 0, 6] 
7;9;10;12.0;5.0;1.1428571428571428;[5, 2, 1, 6, 6] [4, 2, 0, 1, 1] [1, 2, 4, 0, 6] 
7;11;9;11.714285714285714;5.0;1.1428571428571428;[5, 2, 1, 6, 6] [4, 2, 0, 1, 1] [1, 2, 4, 0, 6] 
8;10;11;10.625;5.0;1.25;[5, 2, 1, 6, 6] [4, 2, 0, 1, 1] [0, 4, 1, 4, 5] 
9;7;12;10.222222222222221;5.0;1.3333333333333333;[5, 2, 1, 6, 6] [4, 2, 0, 1, 1] [0, 4, 1, 4, 5] 
8;6;14;11.25;15.0;0.75;[5, 2, 1, 6, 6] [4, 2, 0, 1, 1] [0, 4, 1, 4, 5] 
8;5;12;10.875;15.0;0.75;[5, 2, 1, 6, 6] [4, 2, 0, 1, 1] [0, 4, 1, 4, 5] 
8;6;12;10.5;15.0;0.75;[5, 2, 1, 6, 6] [4, 2, 0, 1, 1] [0, 4, 1, 4, 5] 
5;6;15;5.0;NaN;0.0;[0, 3, 1, 4, 5] [5, 2, 1, 0, 1] [0, 6, 3, 1, 5] 
5;5;16;5.0;NaN;0.0;[0, 3, 1, 4, 5] [5, 2, 1, 0, 1] [0, 6, 3, 1, 5] 
5;6;16;5.0;NaN;0.0;[0, 3, 1, 4, 5] [5, 2, 1, 0, 1] [0, 6, 3, 1, 5] 
5;7;14;4.0;NaN;0.0;[0, 3, 1, 4, 5] [5, 2, 1, 0, 1] [0, 6, 3, 1, 5] 
5;9;12;5.0;NaN;0.0;[0, 3, 1, 4, 5] [5, 2, 1, 0, 1] [0, 6, 3, 1, 5] 
4;12;12;5.5;5.0;0.5;[5, 2, 1, 0, 1] [7, 6, 0, 6, 5] [2, 3, 6, 4, 1] 
4;11;12;8.25;5.0;0.5;[5, 2, 1, 0, 1] [7, 6, 0, 6, 5] [2, 3, 6, 4, 1] 
